Total fertility rate,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813
Abkhazia,,,,,,,,,,,,,,
Afghanistan,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Akrotiri and Dhekelia,,,,,,,,,,,,,,
Albania,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6
Algeria,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99
American Samoa,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,
Angola,6.93,6.93,6.93,6.93,6.93,6.93,6.93,6.94,6.94,6.94,6.94,6.94,6.94,6.94
Anguilla,,,,,,,,,,,,,,
Antigua and Barbuda,5,5,4.99,4.99,4.99,4.98,4.98,4.97,4.97,4.97,4.96,4.96,4.96,4.95
Argentina,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
Armenia,7.8,7.8,7.81,7.81,7.81,7.82,7.82,7.82,7.83,7.83,7.83,7.83,7.84,7.84
Aruba,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64,5.64
Australia,6.5,6.48,6.46,6.44,6.42,6.4,6.38,6.36,6.34,6.32,6.3,6.28,6.26,6.24
